epoch,mean_iou,best_miou_so_far,is_best,model_name
1,0.8029142370356708,0.8029142370356708,1,pidnet_s
2,0.8295685012245158,0.8295685012245158,1,pidnet_s
3,0.8278691696446776,0.8295685012245158,0,pidnet_s
4,0.8500083061392991,0.8500083061392991,1,pidnet_s
5,0.8478889495458576,0.8500083061392991,0,pidnet_s
6,0.837715762027448,0.8500083061392991,0,pidnet_s
7,0.8543574353792249,0.8543574353792249,1,pidnet_s
8,0.8484473802701287,0.8543574353792249,0,pidnet_s
9,0.8469162428618009,0.8543574353792249,0,pidnet_s
10,0.8629802118572043,0.8629802118572043,1,pidnet_s
11,0.8680248656285905,0.8680248656285905,1,pidnet_s
12,0.8635963736411659,0.8680248656285905,0,pidnet_s
13,0.8551195788676966,0.8680248656285905,0,pidnet_s
14,0.8667793694905226,0.8680248656285905,0,pidnet_s
15,0.8707914064068116,0.8707914064068116,1,pidnet_s
16,0.8586058441060579,0.8707914064068116,0,pidnet_s
17,0.8694498227654319,0.8707914064068116,0,pidnet_s
18,0.8707265257806145,0.8707914064068116,0,pidnet_s
19,0.8595526759101552,0.8707914064068116,0,pidnet_s
20,0.8672489273380857,0.8707914064068116,0,pidnet_s
21,0.8740118582700814,0.8740118582700814,1,pidnet_s
22,0.8561506139812344,0.8740118582700814,0,pidnet_s
23,0.8774221731922754,0.8774221731922754,1,pidnet_s
24,0.8696909072027454,0.8774221731922754,0,pidnet_s
25,0.8742935967207092,0.8774221731922754,0,pidnet_s
26,0.8774371411214945,0.8774371411214945,1,pidnet_s
27,0.8649373660789141,0.8774371411214945,0,pidnet_s
28,0.8776464204370645,0.8776464204370645,1,pidnet_s
29,0.8741848934125612,0.8776464204370645,0,pidnet_s
30,0.873740183104094,0.8776464204370645,0,pidnet_s
31,0.8744488886713332,0.8776464204370645,0,pidnet_s
32,0.8759912001929431,0.8776464204370645,0,pidnet_s
33,0.8788312509833732,0.8788312509833732,1,pidnet_s
34,0.875267043691277,0.8788312509833732,0,pidnet_s
35,0.8753663994967865,0.8788312509833732,0,pidnet_s
36,0.8744829666571177,0.8788312509833732,0,pidnet_s
37,0.8807836762642368,0.8807836762642368,1,pidnet_s
38,0.8648199958997616,0.8807836762642368,0,pidnet_s
39,0.877259536787479,0.8807836762642368,0,pidnet_s
40,0.8829114072681703,0.8829114072681703,1,pidnet_s
41,0.8791150670740865,0.8829114072681703,0,pidnet_s
42,0.8790339507499364,0.8829114072681703,0,pidnet_s
43,0.8796685625740828,0.8829114072681703,0,pidnet_s
44,0.8791848892743628,0.8829114072681703,0,pidnet_s
45,0.8807492858328746,0.8829114072681703,0,pidnet_s
46,0.8818872795650685,0.8829114072681703,0,pidnet_s
47,0.8824067282378372,0.8829114072681703,0,pidnet_s
48,0.8762477827149586,0.8829114072681703,0,pidnet_s
49,0.8792040377506407,0.8829114072681703,0,pidnet_s
50,0.878326855954026,0.8829114072681703,0,pidnet_s
